"选手ID","国籍","队伍","位置","年龄","TI次数"
"Rein","Russia","Enjoy","Support","25","0"
"RodjER","Russia, Armenia","","Carry4","32","3"
"Rvze","Russia","","Mid","27","0"
"SSS","Russia","PARIVISION","Offlane","20","0"
"Satanic","Russia","PARIVISION","Carry","18","2"
"Scandal","Russia","","Mid","34","0"
"Sedoy","Russia","","Offlane","34","0"
"Serenada","Russia","","Mid","20","0"
"Shaking","Russia","","Mid","30","0"
"Shergarat (Vladimir)","Russia","","Offlane","26","0"
"Slander","Russia","","Offlane","34","0"
"SoNNeikO","Russia, Uzbekistan","","Support","29","4"
"SoNiC","Russia","","Support","","0"
"Solo","Russia","","Carry5","36","4"
"Stalk","Russia","","Other","33","0"
"Stizer","Russia","","Mid","27","0"
"SuperNova","Russia","","Offlane","28","0"
"TORONTOTOKYO","Russia","Aurora Gaming","Offlane","29","5"
"The_apathy","Russia","","Carry","","0"
"Till the end","Russia, Ukraine","Power Rangers","Support","26","0"
"UnderShock","Russia","","Support","30","0"
"VANSKOR","Russia","","Support","31","1"
"Vazya","Russia","L1GA TEAM","Offlane","29","1"
"Vicoros","Russia","","Offlane","26","0"
"Vigoss","Russia","","Mid","38","1"
"Wein","Russia","","Support","18","0"
"Windx","Russia","","Support","","0"
"WoE","Russia","Level UP","Carry","22","0"
"Worick","Russia","Zero Tenacity","Mid","26","0"
"XaKoH","Russia","","Offlane","36","0"
"Xakoda","Russia","Yellow Submarine","Support","24","0"
"Yel","Russia","","Support","29","0"
"Zitraks","Russia","UALEIKUMNIHAO","Carry","27","0"
"[T]SA","Russia","","Support","28","0"
"alberkaaa","Russia","Power Rangers","Offlane","22","0"
"antoha","Russia","","Support","25","0"
"ariel","Russia","Nemiga Gaming","Support","27","0"
"asdekor_r","Russia","","Support","22","0"
"babitich","Russia","","Mid","24","0"
"bb3px","Russia","Level UP","Offlane","23","0"
"blowyourbrain","Russia","","Carry","33","0"
"bottega","Russia","BetBoom Team","Carry","17","0"
"bowbowbow","Russia","","Offlane","","0"
"ck","Russia","","Support","28","0"
"dyrachyo","Russia","","Carry","24","3"
"eine","Russia","","Support","28","0"
"erase","Russia","L1GA TEAM","Mid","23","0"
"fozzy","Russia","Team Empire Hope","Mid","","0"
